noun,Eventive_1,Eventive_2,Pluralia Tantum_1,Pluralia Tantum_2,Animate/Inanimate_1,Animate/Inanimate_2,Animate/Inanimate_3,Collective_1,Collective_2,Common_1,Common_2,Count_1,Count_2,Mass_1,Mass_2,total_score
discovery,0.95,0.98,0.94,0.96,-0.82,-0.97,-0.96,-0.70,-0.96,0.98,0.82,0.92,0.95,0.61,-0.86,0.27
discrepancy,-0.58,0.97,0.78,0.95,-0.80,-0.96,-0.95,-0.74,-0.91,0.92,0.76,0.87,0.96,0.82,-0.83,0.15
discretion,-0.55,0.95,0.63,0.92,-0.80,-0.97,-0.96,-0.62,-0.87,0.98,0.71,0.83,0.96,0.98,-0.70,0.17
discrimination,0.88,0.98,-0.66,0.72,-0.60,-0.97,-0.96,-0.66,-0.75,0.95,0.68,0.95,0.96,0.91,-0.92,0.17
discussion,0.94,0.98,0.84,0.95,-0.53,-0.96,-0.97,0.94,-0.93,0.98,0.75,0.89,0.51,0.95,-0.89,0.38
disdain,0.79,0.93,-0.65,0.55,-0.55,-0.97,-0.96,-0.62,-0.90,0.93,0.67,0.80,0.89,0.95,-0.61,0.15
disease,0.66,0.98,0.86,0.94,0.81,-0.97,-0.96,0.53,-0.81,0.95,0.86,0.94,0.97,0.81,-0.91,0.43
disembodiment,0.91,0.96,0.82,0.92,0.74,-0.80,-0.80,0.87,-0.90,0.95,0.80,0.87,0.89,0.83,-0.75,0.47
disengagement,0.92,0.98,0.59,0.94,-0.93,-0.96,-0.96,0.64,-0.83,0.96,0.66,0.92,0.94,0.75,-0.93,0.33
disguise,0.92,0.92,0.77,0.94,-0.78,-0.96,-0.96,-0.67,-0.93,0.98,0.94,0.91,0.84,-0.56,-0.81,0.17
disgust,0.84,0.96,-0.68,0.75,0.77,-0.97,-0.97,-0.59,-0.82,0.92,0.65,0.93,0.81,0.94,-0.73,0.23
dish,0.92,0.97,0.90,0.97,0.92,-0.94,-0.97,-0.70,-0.95,0.98,0.94,0.88,0.95,0.96,-0.87,0.38
dishwasher,0.88,-0.63,0.92,0.95,0.60,-0.55,-0.94,0.66,-0.94,0.97,0.93,0.95,0.75,0.68,-0.76,0.34
disk,0.76,0.80,0.91,0.97,0.89,-0.94,-0.96,0.60,-0.93,0.98,0.89,0.89,0.95,0.85,-0.87,0.44
disparity,0.64,0.97,0.73,0.90,-0.86,-0.95,-0.96,-0.70,-0.89,0.91,0.72,0.92,0.97,0.94,-0.84,0.24
dispatch,0.93,0.98,0.68,0.97,-0.67,-0.55,0.76,0.84,-0.86,0.98,0.72,0.86,0.91,0.85,-0.88,0.48
displacement,0.94,0.98,-0.72,0.92,-0.94,-0.96,-0.96,0.55,-0.86,0.98,0.77,0.89,0.93,0.67,-0.87,0.23
display,0.86,0.98,0.63,0.94,-0.61,-0.96,-0.97,0.63,-0.93,0.98,0.88,0.90,0.87,0.60,-0.88,0.34
disposal,0.91,0.98,0.67,0.96,-0.95,-0.97,-0.94,-0.57,-0.93,0.98,0.92,0.88,0.72,-0.50,-0.83,0.16
disposer,-0.61,0.96,-0.74,0.87,0.65,0.72,-0.63,0.68,-0.89,0.93,-0.51,0.95,-0.54,-0.92,-0.90,-0.02
disposition,-0.66,0.98,0.62,0.93,-0.86,-0.97,-0.96,0.86,-0.91,0.97,0.90,0.95,0.87,0.67,-0.74,0.26
dispute,0.82,0.98,0.78,0.94,0.62,-0.97,-0.96,0.69,-0.93,0.94,0.84,0.88,0.94,0.73,-0.89,0.42
disregard,-0.58,0.94,-0.60,0.67,-0.93,-0.97,-0.95,-0.72,-0.93,0.85,0.74,0.81,0.85,0.84,-0.60,0.03
disruption,0.93,0.98,0.72,0.96,-0.93,-0.97,-0.96,-0.61,-0.90,0.97,0.83,0.91,0.92,0.76,-0.83,0.27
dissemination,0.94,0.98,-0.60,0.90,-0.94,-0.97,-0.94,0.57,-0.92,0.97,0.70,0.89,0.95,0.79,-0.58,0.27
dissonance,0.92,0.97,0.75,0.94,0.91,-0.96,-0.94,-0.52,-0.77,0.96,0.81,0.95,0.97,0.95,-0.87,0.39
distance,-0.80,-0.85,-0.58,0.88,-0.93,-0.97,-0.97,-0.92,-0.91,0.94,0.77,0.95,0.96,0.82,-0.84,-0.11
distinction,0.87,0.98,0.65,0.95,0.72,-0.96,-0.95,-0.58,-0.92,0.98,0.76,0.95,0.97,0.95,-0.70,0.36
distortion,0.89,0.98,0.70,0.93,0.65,-0.97,-0.95,-0.59,-0.87,0.98,0.86,0.94,0.96,0.94,-0.81,0.36
distribution,0.84,0.97,0.57,0.88,-0.95,-0.96,-0.94,0.89,-0.91,0.98,0.89,0.95,0.97,0.79,-0.80,0.37
distributor,0.63,-0.82,0.94,0.94,0.84,0.97,0.88,0.93,-0.85,0.89,0.71,0.92,0.83,-0.83,-0.65,0.39
district,-0.59,-0.92,0.65,0.92,-0.96,0.65,0.82,0.82,0.78,0.96,-0.55,0.92,0.96,-0.50,-0.86,0.21
divalent,-0.62,0.53,-0.54,0.92,-0.70,-0.93,-0.76,0.89,0.51,0.93,0.84,0.95,0.94,-0.55,-0.72,0.18
divan,-0.55,-0.69,0.84,0.92,0.92,0.96,0.96,0.85,-0.82,0.95,0.66,0.91,0.67,-0.81,-0.76,0.29
diver,0.88,-0.83,0.94,0.96,0.91,0.97,0.96,0.75,-0.89,0.97,0.64,0.93,0.64,-0.82,-0.85,0.37
diversity,0.67,0.96,-0.76,-0.77,-0.74,-0.96,-0.89,0.62,-0.73,0.93,0.59,0.95,0.97,0.95,-0.88,0.13
divide,0.61,0.97,0.77,0.87,-0.61,-0.96,-0.95,0.55,-0.86,0.96,0.60,0.93,0.92,-0.57,-0.74,0.24
dividend,0.64,0.98,0.81,0.95,0.95,-0.96,-0.96,-0.76,-0.91,0.98,0.87,0.89,0.96,0.51,-0.89,0.31
divider,-0.58,-0.70,0.83,0.94,0.94,0.96,0.96,0.89,-0.96,0.98,0.55,0.97,0.78,-0.74,-0.62,0.30
divine,-0.71,0.82,-0.64,0.50,0.74,-0.60,0.91,-0.66,0.92,0.64,-0.52,0.71,0.83,-0.85,-0.85,0.06
diving,0.97,0.98,-0.88,0.62,-0.86,-0.96,-0.90,0.66,-0.77,0.98,0.69,0.51,0.91,0.88,-0.93,0.20
division,-0.56,0.98,0.67,0.94,-0.78,0.80,0.93,0.96,0.95,0.97,0.82,0.91,0.96,0.66,-0.89,0.57
divorce,0.84,0.98,0.77,0.96,-0.92,-0.97,-0.96,-0.62,-0.88,0.95,0.85,0.92,0.93,-0.59,-0.88,0.17
doc,0.66,-0.76,0.84,0.95,0.85,0.96,0.93,0.74,-0.91,0.97,0.63,0.93,0.91,-0.58,-0.74,0.39
dock,0.57,-0.77,0.58,0.92,-0.93,-0.95,-0.94,0.65,-0.80,0.98,0.90,0.95,0.84,0.79,-0.92,0.20
doctor,0.59,-0.78,0.88,0.92,0.88,0.96,0.94,0.59,-0.96,0.95,0.59,0.87,0.59,-0.70,-0.71,0.34
doctorate,0.87,0.95,0.82,0.95,-0.55,-0.85,0.95,0.85,-0.86,0.97,0.83,0.93,0.74,-0.67,-0.89,0.37
doctrine,0.86,0.97,0.71,0.94,0.82,-0.94,-0.96,0.65,-0.78,0.98,0.86,0.96,0.97,0.95,-0.89,0.46
document,0.67,0.90,0.75,0.96,0.88,-0.96,-0.97,0.51,-0.96,0.98,0.83,0.73,0.93,0.93,-0.91,0.40
documentary,0.91,0.97,0.88,0.93,0.57,-0.87,-0.95,-0.50,-0.91,0.98,0.91,0.84,0.88,0.76,-0.89,0.35
documentation,0.95,0.98,-0.73,0.74,0.89,-0.94,-0.96,0.70,-0.81,0.98,0.70,0.76,0.95,0.98,-0.92,0.33
doe,0.76,0.70,-0.55,0.94,0.85,0.96,0.97,0.54,-0.57,0.96,0.60,0.82,-0.88,-0.88,-0.78,0.25
dog,0.53,-0.92,0.84,0.95,0.90,0.95,0.93,-0.60,-0.94,0.97,0.86,0.81,0.77,0.89,-0.83,0.37
doggie,0.65,-0.89,0.80,0.96,0.70,0.95,0.85,-0.62,-0.90,0.94,0.63,0.93,0.65,-0.84,-0.86,0.22
dogsled,0.50,-0.79,-0.69,0.87,-0.90,-0.97,-0.92,0.90,-0.79,-0.67,-0.52,0.55,0.69,-0.94,-0.88,-0.26
dogwood,0.51,-0.71,-0.83,0.66,-0.95,-0.97,-0.96,-0.63,-0.88,0.86,-0.71,0.84,0.94,0.95,-0.82,-0.13
doing,0.55,0.94,-0.92,-0.83,-0.93,-0.96,-0.96,-0.87,-0.94,-0.84,-0.57,0.68,0.95,0.77,-0.85,-0.27
doll,0.55,-0.89,0.79,0.96,0.86,0.85,0.84,-0.52,-0.96,0.97,0.90,0.83,0.90,0.91,-0.84,0.38
dollar,0.59,-0.87,0.79,0.97,0.90,-0.88,-0.87,-0.68,-0.95,0.97,0.93,0.92,0.65,0.91,-0.91,0.20
dollop,0.73,0.97,0.72,0.97,0.62,-0.95,-0.94,0.55,-0.95,0.97,0.84,0.88,0.82,0.87,-0.82,0.41
dolman,0.89,0.90,0.82,0.96,0.79,0.96,0.87,0.95,0.66,0.95,0.71,0.95,0.97,-0.60,0.66,0.76
dolor,-0.64,0.95,0.61,0.87,-0.89,-0.94,-0.94,0.68,-0.91,0.89,0.77,0.92,0.97,0.91,-0.91,0.23
dolphin,0.55,0.61,0.91,0.97,0.91,0.96,0.96,0.91,0.67,0.97,0.78,0.94,0.91,0.85,-0.53,0.75
domain,0.66,0.76,0.77,0.95,-0.81,-0.92,-0.90,0.95,-0.76,0.97,0.90,0.93,0.98,0.91,-0.61,0.40
dome,0.55,-0.84,0.85,0.92,-0.71,-0.95,-0.96,-0.72,-0.91,0.97,0.87,0.92,0.92,-0.68,-0.82,0.02
domination,0.93,0.98,-0.64,0.87,-0.66,-0.97,-0.96,-0.51,-0.90,0.96,0.69,0.88,0.93,0.81,-0.86,0.17
donation,0.93,0.98,0.82,0.97,0.54,-0.96,-0.95,-0.54,-0.91,0.98,0.91,0.76,0.98,0.78,-0.89,0.35
donkey,0.77,-0.82,0.85,0.96,0.90,0.84,0.92,0.62,-0.93,0.97,0.88,0.93,0.76,0.59,-0.79,0.47
donor,0.68,-0.84,0.91,0.95,0.96,0.97,0.97,0.60,-0.94,0.88,0.61,0.89,0.88,-0.68,-0.83,0.36
donut,0.91,0.93,0.89,0.97,0.82,-0.93,-0.96,-0.79,-0.96,0.97,0.87,0.82,0.82,0.85,-0.76,0.35
door,-0.76,-0.86,-0.80,0.86,-0.92,-0.97,-0.96,-0.80,-0.95,0.81,0.83,0.94,0.56,-0.54,-0.85,-0.25
doorbell,0.61,0.74,0.89,0.93,0.67,-0.95,-0.96,0.55,-0.95,0.97,0.86,0.90,0.87,0.75,-0.91,0.38
doorknob,0.77,-0.52,0.79,0.93,0.66,-0.96,-0.94,0.57,-0.94,0.93,0.83,0.93,0.94,0.57,-0.90,0.29
doorpost,0.62,-0.80,0.75,0.92,0.52,-0.96,-0.90,-0.66,-0.95,0.95,0.89,0.90,0.85,0.91,-0.72,0.20
doorway,-0.73,-0.53,-0.51,0.90,-0.93,-0.97,-0.94,-0.73,-0.90,0.94,0.84,0.96,0.94,0.53,-0.73,-0.07
dory,0.78,0.85,-0.69,0.94,-0.95,-0.89,-0.81,0.93,-0.93,0.97,0.60,0.94,0.96,0.54,-0.78,0.24
dose,0.68,0.95,-0.51,0.97,-0.72,-0.97,-0.97,-0.76,-0.93,0.98,0.89,0.84,0.93,0.83,-0.89,0.16
dot,-0.64,-0.51,0.94,0.96,0.67,-0.92,0.88,0.51,-0.93,0.97,0.81,0.95,0.97,0.83,-0.83,0.32
double,0.67,0.96,0.71,0.91,-0.61,0.84,-0.65,0.63,0.90,0.84,0.64,0.91,0.90,-0.80,-0.84,0.44
doubling,0.62,0.97,-0.79,0.69,-0.92,-0.95,-0.84,-0.57,-0.85,0.95,-0.59,0.78,0.93,-0.61,0.52,0.02
doubt,-0.71,0.81,-0.71,0.73,0.57,-0.97,-0.95,-0.85,-0.87,0.54,0.53,0.89,0.72,0.92,-0.86,0.02
doubter,-0.57,-0.75,0.88,0.92,0.89,0.96,0.82,0.68,-0.59,0.93,-0.54,0.94,0.69,-0.51,-0.74,0.22
dough,0.92,-0.73,-0.63,0.87,-0.56,-0.97,-0.96,-0.78,-0.65,0.98,0.74,0.86,0.87,0.98,-0.91,0.06
doughnut,0.89,0.76,0.88,0.97,0.73,-0.93,-0.96,-0.54,-0.95,0.97,0.93,0.83,0.76,0.83,-0.78,0.34
down,-0.88,0.54,-0.87,0.67,-0.89,-0.96,-0.95,-0.84,-0.92,-0.82,-0.84,0.79,-0.51,-0.92,-0.88,-0.53
downfall,0.87,0.98,-0.57,0.94,-0.89,-0.97,-0.96,-0.67,-0.91,0.88,0.74,0.89,0.96,-0.82,-0.69,0.05
downforce,0.68,0.96,0.71,0.93,-0.82,0.61,0.92,0.95,0.92,0.96,0.57,0.93,0.51,0.92,-0.79,0.62
downgrade,0.88,0.98,0.83,0.97,-0.75,-0.96,-0.96,0.55,-0.82,0.98,0.90,0.94,0.89,-0.74,-0.83,0.27
download,0.94,0.98,0.72,0.97,-0.79,-0.96,-0.96,-0.72,-0.86,0.98,0.86,0.88,0.87,0.74,-0.88,0.26
downstairs,-0.66,-0.68,-0.91,-0.68,-0.95,-0.96,-0.88,-0.78,-0.81,0.56,-0.82,0.62,0.84,-0.93,-0.87,-0.50
downtown,-0.65,-0.71,-0.71,-0.61,-0.94,-0.96,-0.83,-0.83,-0.78,0.83,-0.61,0.93,0.91,-0.81,-0.89,-0.41
downturn,0.87,0.98,0.53,0.94,-0.95,-0.97,-0.96,-0.68,-0.87,0.85,0.82,0.93,0.95,-0.87,-0.81,0.12
dozen,-0.87,0.51,0.63,0.95,-0.85,-0.96,-0.90,-0.59,0.95,-0.91,0.87,0.85,-0.64,-0.95,-0.82,-0.13
draft,0.75,0.98,0.87,0.95,-0.70,-0.96,-0.69,0.88,-0.79,0.97,0.89,0.90,0.83,0.56,-0.89,0.38
drag,0.84,0.97,0.57,0.96,-0.84,-0.96,-0.92,0.65,-0.79,0.95,0.82,0.93,0.93,0.81,-0.84,0.36
dragon,-0.57,-0.57,0.89,0.95,0.94,0.91,0.88,0.84,-0.95,0.94,0.78,0.92,0.84,-0.51,-0.67,0.34
dragonfly,0.74,0.59,0.81,0.96,0.94,0.87,0.63,0.79,-0.92,0.85,0.77,0.90,0.91,0.73,-0.70,0.58
dragonfruit,0.81,0.57,0.79,0.95,0.59,-0.94,-0.90,0.53,-0.92,0.88,0.76,0.88,0.96,0.92,-0.77,0.39
dragster,-0.62,-0.78,0.84,0.95,0.75,0.96,0.93,0.91,-0.79,0.97,0.68,0.90,0.61,-0.87,-0.64,0.28
drain,0.61,0.68,0.72,0.95,0.76,-0.96,-0.94,-0.64,-0.89,0.95,0.93,0.94,0.96,0.75,-0.85,0.31
drainage,0.90,0.98,0.85,0.89,0.72,-0.96,-0.96,-0.67,-0.68,0.98,0.87,0.94,0.98,0.98,-0.85,0.38
drake,0.69,0.59,0.91,0.96,0.83,0.94,0.93,0.85,0.61,0.97,0.74,0.94,0.75,0.56,0.69,0.79
drama,0.92,0.98,0.79,0.90,0.64,-0.96,-0.95,0.68,-0.82,0.97,0.81,0.92,0.91,0.92,-0.90,0.45
dramaturge,-0.59,0.84,0.54,0.89,-0.57,0.96,0.95,0.95,0.82,0.82,0.62,0.93,0.87,-0.84,0.56,0.52
drapes,0.87,-0.53,-0.71,0.59,-0.90,-0.96,-0.96,-0.74,0.58,-0.90,0.60,0.58,-0.72,-0.93,0.83,-0.17
draw,0.91,0.98,0.84,0.97,-0.93,-0.94,-0.90,0.82,-0.85,0.98,0.90,0.90,0.94,0.58,-0.89,0.37
drawbridge,0.63,0.66,0.84,0.94,-0.53,-0.95,-0.93,0.63,-0.87,0.97,0.80,0.95,0.92,-0.53,-0.88,0.25
drawer,-0.75,-0.81,-0.52,0.95,-0.70,-0.97,-0.93,-0.51,-0.95,0.96,0.92,0.92,0.69,0.84,-0.85,-0.06
drawing,0.90,0.98,0.85,0.96,-0.59,-0.93,-0.90,0.65,-0.87,0.98,0.91,0.85,0.92,0.93,-0.89,0.40
dream,0.87,0.97,0.77,0.97,0.64,-0.95,-0.91,0.61,-0.90,0.96,0.91,0.95,0.92,0.51,-0.90,0.42
dreamer,-0.55,0.58,0.96,0.93,0.89,0.95,0.95,0.87,-0.92,0.90,0.59,0.95,-0.50,0.58,-0.74,0.39
dredger,0.80,0.53,0.90,0.95,0.72,0.93,0.74,0.80,-0.88,0.97,0.83,0.91,0.84,-0.60,-0.61,0.50
dress,0.83,0.68,0.87,0.96,-0.55,-0.95,-0.97,-0.79,-0.94,0.98,0.93,0.83,0.92,0.60,-0.91,0.24
dresser,0.60,-0.84,0.82,0.94,0.80,0.94,-0.60,0.71,-0.95,0.97,0.78,0.94,0.59,-0.54,-0.83,0.28
dressing,0.91,0.97,-0.74,0.93,-0.94,-0.97,-0.97,-0.70,-0.86,0.96,0.61,0.89,0.89,0.81,-0.78,0.14
drill,0.89,0.98,0.90,0.96,-0.77,-0.94,-0.95,0.55,-0.88,0.98,0.81,0.90,0.87,0.76,-0.88,0.36
drink,0.93,0.97,0.92,0.98,0.69,-0.96,-0.97,-0.63,-0.95,0.98,0.90,0.84,0.85,0.93,-0.93,0.35
drinking,0.96,0.98,-0.92,-0.72,-0.93,-0.97,-0.96,-0.60,-0.86,0.97,0.67,-0.50,0.85,0.91,-0.91,-0.08
drive,0.95,0.98,0.65,0.97,-0.93,-0.97,-0.96,0.76,-0.92,0.98,0.88,0.87,0.94,-0.54,-0.93,0.26
driver,0.75,-0.90,0.79,0.95,0.90,0.97,0.96,0.80,-0.95,0.97,0.65,0.80,0.67,0.72,-0.88,0.45
driveway,0.72,-0.73,0.67,0.90,-0.95,-0.97,-0.96,-0.84,-0.89,0.96,0.90,0.94,0.96,0.71,-0.84,0.11
driving,0.95,0.98,-0.93,-0.56,-0.93,-0.95,-0.95,-0.67,-0.77,0.97,0.72,-0.52,0.97,0.86,-0.91,-0.06
drizzle,0.66,0.98,0.82,0.97,-0.51,-0.96,-0.95,-0.88,-0.78,0.90,0.91,0.92,0.86,0.84,-0.94,0.26
dromedary,0.84,0.96,0.91,0.96,-0.57,0.53,0.84,0.97,-0.67,0.97,0.86,0.95,0.96,0.78,0.58,0.69
drop,0.88,0.98,-0.69,0.97,-0.81,-0.97,-0.96,-0.81,-0.87,0.98,0.72,0.84,0.96,0.54,-0.85,0.13
drudgery,0.94,0.98,-0.50,0.94,-0.88,-0.97,-0.96,0.71,-0.78,0.96,0.81,0.90,0.96,0.86,-0.95,0.28
drug,0.81,0.88,0.88,0.95,-0.75,-0.96,-0.96,-0.79,-0.95,0.98,0.91,0.90,0.97,0.91,-0.91,0.27
drum,0.83,0.79,0.89,0.96,0.61,-0.89,-0.82,0.93,-0.91,0.98,0.93,0.91,0.73,0.88,-0.89,0.45
drummer,0.79,-0.66,0.90,0.96,0.93,0.96,0.97,0.78,-0.92,0.97,0.78,0.91,-0.50,-0.56,-0.81,0.32
drunk,-0.71,0.66,0.75,0.90,-0.60,0.93,0.93,-0.62,0.83,0.59,0.58,0.92,0.59,-0.89,-0.90,0.25
dryer,0.90,-0.59,0.81,0.96,0.67,-0.71,-0.87,0.56,-0.94,0.98,0.89,0.95,0.83,-0.63,-0.77,0.24
duck,0.71,-0.53,0.89,0.96,0.95,0.95,0.85,0.86,0.60,0.97,0.87,0.95,0.91,0.86,-0.76,0.65
duckling,0.59,-0.74,0.95,0.96,0.95,0.96,0.89,0.56,-0.78,0.95,0.81,0.92,0.80,0.67,0.58,0.58
dud,-0.60,0.93,0.71,0.96,-0.81,0.58,-0.52,0.89,0.56,0.65,0.86,0.92,0.94,-0.60,-0.83,0.35
dude,0.81,-0.86,0.88,0.92,0.88,0.96,0.95,0.61,-0.67,0.96,0.72,0.94,0.72,0.71,-0.84,0.48
due,-0.89,-0.79,-0.90,0.64,-0.93,-0.96,-0.91,-0.69,-0.81,-0.76,-0.71,-0.64,0.90,-0.79,-0.88,-0.58
duel,0.88,0.98,0.93,0.97,-0.90,-0.96,-0.96,-0.55,-0.93,0.97,0.90,0.96,0.94,-0.61,-0.83,0.19
dueling,0.83,0.97,-0.92,-0.73,-0.67,-0.96,-0.85,-0.59,-0.77,0.83,0.55,-0.63,0.86,0.59,-0.90,-0.11
duffel,0.69,-0.64,0.91,0.97,-0.93,-0.94,-0.96,0.58,-0.91,0.92,0.87,0.92,0.87,0.87,-0.88,0.24
dugout,0.56,0.52,0.87,0.90,-0.96,-0.97,-0.95,0.54,-0.95,0.97,0.65,0.94,0.68,-0.68,-0.93,0.15
dulcimer,0.94,0.95,0.90,0.97,0.80,0.96,0.93,0.96,-0.60,0.97,0.86,0.96,0.95,-0.52,-0.52,0.62
dumbwaiter,0.79,0.86,0.93,0.95,0.95,0.96,0.95,0.87,0.63,0.90,0.64,0.97,0.78,0.67,-0.59,0.73
dump,0.87,0.98,0.88,0.95,-0.95,-0.97,-0.92,-0.66,-0.89,0.98,0.88,0.94,0.96,0.82,-0.83,0.29
dump truck,0.78,-0.79,0.89,0.96,-0.77,-0.75,-0.91,0.61,-0.92,0.96,0.91,0.89,0.73,0.76,-0.71,0.25
dune,-0.64,-0.63,0.75,0.94,-0.77,-0.96,-0.93,-0.73,-0.84,0.78,0.79,0.92,0.94,-0.51,-0.77,-0.06
dune buggy,0.89,0.78,0.93,0.96,-0.77,0.59,-0.88,0.94,-0.59,0.97,0.88,0.93,0.90,0.72,-0.66,0.50
dungarees,0.94,0.90,-0.86,-0.52,-0.94,-0.97,-0.88,-0.69,0.95,-0.89,-0.50,0.73,-0.58,-0.91,0.88,-0.17
dungeon,0.51,0.77,0.81,0.95,-0.92,-0.97,-0.95,-0.51,-0.77,0.97,0.85,0.93,0.93,0.60,-0.82,0.24
duplexer,-0.76,-0.64,0.82,0.95,0.89,0.96,0.96,0.94,-0.92,0.97,0.63,0.96,0.74,-0.81,0.57,0.38
duration,-0.79,-0.63,-0.69,0.82,-0.96,-0.97,-0.95,-0.68,-0.73,0.96,0.64,0.84,0.95,-0.58,-0.60,-0.17
durian,0.82,0.95,0.80,0.97,0.85,0.96,0.78,0.86,-0.78,0.94,0.79,0.93,0.93,-0.56,0.53,0.64
dusk,-0.59,0.94,-0.73,0.60,-0.76,-0.97,-0.96,-0.91,-0.94,0.86,0.58,0.56,0.95,0.63,-0.85,-0.05
dust,0.63,0.90,-0.76,0.50,0.83,-0.97,-0.96,-0.81,-0.71,0.88,0.72,0.93,0.89,0.98,-0.94,0.18
dust storm,0.71,0.98,0.86,0.96,-0.55,-0.97,-0.94,-0.68,-0.89,0.85,0.89,0.88,0.83,-0.83,-0.76,0.16
duster,0.81,0.66,0.87,0.95,-0.90,-0.93,-0.67,0.65,-0.93,0.98,0.85,0.93,0.64,-0.61,-0.87,0.23
duty,0.92,0.97,0.77,0.95,-0.79,-0.96,-0.96,0.66,-0.95,0.98,0.67,0.94,0.93,0.83,-0.89,0.36
dwarf,-0.52,-0.59,0.92,0.96,0.94,0.96,0.96,0.76,-0.88,0.95,0.68,0.95,0.66,-0.56,-0.62,0.33
dwell,-0.91,-0.54,-0.92,0.53,-0.95,-0.95,-0.94,-0.74,-0.84,-0.82,-0.74,-0.58,-0.68,-0.92,-0.94,-0.72
dwelling,-0.66,-0.78,0.81,0.93,-0.96,-0.95,-0.94,-0.58,-0.95,0.95,0.79,0.87,0.91,0.84,-0.83,0.03
dynamics,0.94,0.98,-0.56,0.63,-0.96,-0.97,-0.96,0.74,-0.66,0.79,0.66,0.72,-0.61,-0.76,0.88,0.13
dynamite,0.83,0.93,0.89,0.94,0.55,-0.94,-0.95,-0.69,-0.90,0.98,0.69,0.90,0.94,0.96,-0.91,0.33
dynamo,0.92,0.98,0.91,0.95,0.70,-0.56,-0.92,0.65,-0.93,0.98,0.81,0.92,0.84,0.84,-0.88,0.46
dynasty,-0.52,0.91,0.83,0.92,0.70,0.62,0.93,0.95,0.87,0.94,0.78,0.93,0.95,-0.65,-0.77,0.55
dysfunction,0.84,0.98,0.80,0.91,-0.66,-0.96,-0.96,0.61,-0.83,0.90,0.80,0.95,0.97,0.79,-0.86,0.37
e-book,0.86,0.79,-0.53,0.97,-0.75,-0.95,-0.96,0.61,-0.91,0.97,0.90,0.89,0.91,0.71,-0.75,0.26
e-mail,0.85,0.98,-0.67,0.97,0.52,-0.95,-0.95,0.69,-0.76,0.98,0.82,0.82,0.95,0.97,-0.80,0.35
e-reader,0.93,-0.68,0.92,0.97,0.85,0.91,-0.74,0.76,-0.91,0.98,0.86,0.93,0.69,0.68,-0.74,0.43
eagle,-0.71,-0.87,0.70,0.94,0.93,0.88,0.94,0.81,-0.95,0.95,0.79,0.90,0.91,0.53,-0.85,0.36
eaglet,0.71,0.51,0.51,0.96,0.83,0.96,0.96,0.95,0.68,0.94,0.73,0.91,0.90,-0.57,0.59,0.69
ear,-0.70,-0.83,-0.72,0.87,0.52,-0.93,-0.91,0.67,-0.89,0.89,0.86,0.95,0.79,-0.53,-0.88,-0.03
eardrum,0.52,0.91,0.77,0.94,-0.79,-0.96,-0.95,-0.54,-0.86,0.93,0.66,0.87,0.91,0.84,-0.91,0.23
earmuffs,0.93,0.92,-0.85,-0.65,-0.94,-0.96,-0.95,-0.79,0.75,-0.93,0.69,0.68,0.55,-0.96,0.75,-0.06
earnings,0.78,0.98,-0.93,-0.69,-0.95,-0.97,-0.94,-0.87,-0.73,-0.83,0.57,0.69,0.74,-0.90,-0.53,-0.26
earplug,0.61,-0.78,0.73,0.97,0.82,-0.95,-0.94,-0.85,-0.95,0.98,0.91,0.97,0.58,0.59,-0.87,0.15
earring,0.87,0.96,0.62,0.97,0.85,-0.95,-0.91,-0.71,-0.85,0.97,0.93,0.90,0.92,0.89,-0.64,0.37
earrings,0.95,0.96,-0.82,-0.56,-0.95,-0.97,-0.97,-0.86,0.96,-0.94,0.73,-0.71,-0.68,-0.96,0.91,-0.21
earth,-0.67,-0.93,-0.69,0.84,-0.61,-0.78,-0.88,0.55,-0.83,0.61,-0.67,0.92,0.90,0.78,-0.88,-0.11
earthquake,0.77,0.98,0.73,0.96,0.53,-0.97,-0.95,-0.82,-0.86,0.89,0.89,0.84,0.96,-0.83,-0.83,0.20
earthworm,0.80,0.84,0.76,0.97,0.91,0.95,0.93,0.90,-0.73,0.97,0.82,0.93,0.92,0.92,-0.52,0.68
ease,0.59,0.89,-0.90,-0.55,-0.96,-0.97,-0.97,-0.64,-0.92,0.93,0.71,0.95,0.95,0.87,-0.58,0.03
easel,0.89,0.96,0.84,0.97,0.75,-0.91,-0.93,-0.57,-0.91,0.97,0.92,0.89,0.96,0.95,-0.77,0.38
east,0.64,-0.77,-0.91,-0.64,-0.91,-0.90,0.76,-0.77,-0.76,0.87,-0.70,0.59,0.94,-0.83,-0.77,-0.27
eating,0.93,0.98,-0.95,-0.83,-0.93,-0.97,-0.97,-0.62,-0.92,0.93,-0.50,0.57,0.85,0.89,-0.91,-0.11
eaves,-0.75,-0.69,-0.84,-0.75,-0.94,-0.96,-0.93,0.50,-0.91,-0.92,-0.58,-0.56,-0.68,-0.90,0.78,-0.59
eavesdropper,0.74,0.77,0.84,0.95,0.93,0.97,0.90,0.82,-0.93,0.97,0.66,0.95,-0.68,-0.87,-0.59,0.39
ecclesia,0.83,0.96,0.68,0.89,-0.86,-0.92,0.89,0.94,0.97,0.63,0.51,0.94,0.96,-0.65,0.87,0.57
echidna,0.77,0.88,0.83,0.96,0.89,0.87,0.88,0.93,0.54,0.90,0.72,0.91,0.91,0.89,0.81,0.84
